t,Sol_x,Sol_y,Sol_z,Mercurio_x,Mercurio_y,Mercurio_z,Venus_x,Venus_y,Venus_z,Tierra_x,Tierra_y,Tierra_z,Marte_x,Marte_y,Marte_z,Jupiter_x,Jupiter_y,Jupiter_z,Saturno_x,Saturno_y,Saturno_z,Urano_x,Urano_y,Urano_z,Neptuno_x,Neptuno_y,Neptuno_z
0,0,0,0,5.7909e+10,0,0,1.08209e+11,0,0,1.49596e+11,0,0,2.27923e+11,0,0,7.7857e+11,0,0,1.43353e+12,0,0,2.87246e+12,0,0,4.49506e+12,0,0
86400,2099.68,0,0,5.76137e+10,4.0919e+09,0,1.08124e+11,3.02573e+09,0,1.49552e+11,2.57299e+09,0,2.27904e+11,2.07965e+09,0,7.78568e+11,1.1232e+09,0,1.43353e+12,8.36352e+08,0,2.87246e+12,5.8752e+08,0,4.49506e+12,4.69152e+08,0
172800,6299.27,13.9585,0,5.70223e+10,8.16278e+09,0,1.07955e+11,6.04909e+09,0,1.49463e+11,5.14522e+09,0,2.27866e+11,4.15912e+09,0,7.78565e+11,2.2464e+09,0,1.43353e+12,1.6727e+09,0,2.87246e+12,1.17504e+09,0,4.49506e+12,9.38304e+08,0
259200,12598.6,55.883,0,5.61354e+10,1.21914e+10,0,1.07701e+11,9.06771e+09,0,1.4933e+11,7.71593e+09,0,2.27809e+11,6.23825e+09,0,7.7856e+11,3.36959e+09,0,1.43353e+12,2.50905e+09,0,2.87246e+12,1.76256e+09,0,4.49506e+12,1.40746e+09,0
345600,20996.9,139.809,0,5.49552e+10,1.61562e+10,0,1.07363e+11,1.20792e+10,0,1.49153e+11,1.02844e+10,0,2.27732e+11,8.31685e+09,0,7.78554e+11,4.49278e+09,0,1.43352e+12,3.34541e+09,0,2.87246e+12,2.35008e+09,0,4.49506e+12,1.87661e+09,0
432000,31493.1,279.778,0,5.34855e+10,2.0036e+10,0,1.06941e+11,1.50812e+10,0,1.48932e+11,1.28497e+10,0,2.27637e+11,1.03948e+10,0,7.78546e+11,5.61595e+09,0,1.43352e+12,4.18175e+09,0,2.87246e+12,2.9376e+09,0,4.49506e+12,2.34576e+09,0
518400,44085.6,489.813,0,5.17314e+10,2.38092e+10,0,1.06434e+11,1.80714e+10,0,1.48667e+11,1.54113e+10,0,2.27523e+11,1.24718e+10,0,7.78536e+11,6.73912e+09,0,1.43352e+12,5.0181e+09,0,2.87246e+12,3.52512e+09,0,4.49506e+12,2.81491e+09,0
604800,58772.4,783.897,0,4.97e+10,2.74548e+10,0,1.05844e+11,2.10473e+10,0,1.48357e+11,1.79683e+10,0,2.27389e+11,1.45478e+10,0,7.78524e+11,7.86227e+09,0,1.43352e+12,5.85445e+09,0,2.87246e+12,4.11264e+09,0,4.49506e+12,3.28406e+09,0
691200,75550.8,1175.94,0,4.73997e+10,3.09518e+10,0,1.0517e+11,2.40067e+10,0,1.48004e+11,2.05199e+10,0,2.27237e+11,1.66226e+10,0,7.78511e+11,8.9854e+09,0,1.43351e+12,6.69079e+09,0,2.87246e+12,4.70016e+09,0,4.49506e+12,3.75322e+09,0
777600,94417.8,1679.77,0,4.48406e+10,3.42799e+10,0,1.04413e+11,2.69471e+10,0,1.47607e+11,2.30655e+10,0,2.27065e+11,1.8696e+10,0,7.78497e+11,1.01085e+10,0,1.43351e+12,7.52713e+09,0,2.87246e+12,5.28768e+09,0,4.49506e+12,4.22237e+09,0
864000,115370,2309.06,0,4.20346e+10,3.74192e+10,0,1.03574e+11,2.98663e+10,0,1.47165e+11,2.56042e+10,0,2.26875e+11,2.07678e+10,0,7.7848e+11,1.12316e+10,0,1.4335e+12,8.36347e+09,0,2.87246e+12,5.8752e+09,0,4.49506e+12,4.69152e+09,0
